Server ID,Sponsor,Server Name,Server Lat,Server Lon,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:14:01.241351Z,555.1386384687654,21.764,282619107.6603185,202053466.64154962,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:20:26.712139Z,555.1386384687654,23.44,76397144.92233586,84211510.89457269,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:26:50.031131Z,555.1386384687654,22.163,311255680.04046106,201958957.53486192,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:33:24.892725Z,555.1386384687654,22.825,308672082.195045,197362237.36408523,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:39:44.586281Z,555.1386384687654,29.297,320080543.3716211,171598475.87703767,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:45:59.227922Z,555.1386384687654,21.304,320219451.7503453,173861637.65395197,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:52:01.169774Z,555.1386384687654,23.207,315349886.6821918,203771455.52836353,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T12:58:24.774936Z,555.1386384687654,23.031,313337086.51477575,142258574.53744248,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:04:35.539568Z,555.1386384687654,24.874,329903901.141868,151636949.8300012,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:10:43.760929Z,555.1386384687654,21.647,309372467.6770429,216423416.1364682,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:17:01.513713Z,555.1386384687654,23.833,319214365.5426032,199999223.96442726,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:23:08.165079Z,555.1386384687654,21.563,322176092.825488,202983364.96903577,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:29:16.353150Z,555.1386384687654,21.938,400123211.39149594,203906964.3771163,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:35:21.884785Z,555.1386384687654,21.192,223723977.5179808,66378731.89952419,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:41:29.555023Z,555.1386384687654,29.541,332490413.0476339,195193079.83066714,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:47:30.881909Z,555.1386384687654,24.001,315428239.01203215,208200374.06303126,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T13:53:47.586271Z,555.1386384687654,22.817,404462651.2818795,213524994.2185583,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T14:01:08.386895Z,555.1386384687654,29.901,344103070.0009567,132999000.98167428,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T14:08:39.038284Z,555.1386384687654,30.399,318367460.29668576,187265500.5095052,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T14:14:34.380128Z,555.1386384687654,23.609,353689363.46755594,206832899.41768062,,177.97.170.228
56049,Vivo,Schroeder,-26.4202,-49.0712,2026-08-15T14:20:38.588083Z,619.9782961203857,31.246,139570695.81855422,205206465.59590888,,177.97.170.228
55530,Vivo,Fazenda Rio Grande,-25.6636,-49.3076,2026-08-15T14:26:49.361961Z,555.1386384687654,20.547,315178561.1021453,218325383.12240905,,177.97.170.228
15090,Vivo,Cuiabá,-15.6014,-56.0979,2026-08-15T14:33:12.461769Z,1177.237306067121,106.451,106511827.07782058,102856748.36112222,,177.97.170.228
15090,Vivo,Cuiabá,-15.6014,-56.0979,2026-08-15T14:39:39.972349Z,1177.237306067121,56.945,105833593.85881476,103412544.08115157,,177.97.170.228
